사용자,평점,댓글 내용,감정
문준모,4,"대한민국 톱스타 황정민이 납치되어 벌어지는 이야기. 뭔가 한번쯤은 상상해본 내용을 그대로 영화로 만든 느낌. 배우들의 연기와 캐스팅이 뭔가 잘어울리기도 했었다. 무엇보다 인질범 배우들을 비교적 대중들에게 덜 알려진 배우들로 캐스팅해서 그런지 더더욱 신선해보이기도 하다. 전개도 빠른 편이고. 근데 생각보다 몇몇 장면은 보면서 살찍 놀라기도. 흠이라면 전개가 조금 예상이 잘 간다는게 단점이라면 단점? 그러나 황정민 배우의 팬이라면 아주 재밌게 볼 듯 하다. 중간중간에 배우의 팬이라면 딱 알아챌만한 재밌는 요소들이 곳곳에 있으니까. 결론적으로 나쁘지 않았던 작품. 뭐 협상같은 작품들에 비하면 잘만든 오락영화.
.
.
.
.
.
.
.
.
(카메오 스포일러)
.
.
.
.
.
.
.
.
+황정민 배우가 황정민 본인으로 출연하는 영화. 보고나서 오늘도 그가 왜 A급 배우인지 다시한번 깨달았다.
+인질범 두목으로 나오는 김재범 배우. 찾아보니까 뮤지컬과 연극 쪽에서 활동하신분이더라. 이 분 차기작 기대된다.
+인질범 일행 중에서 빡빡머리를 하신 분은 류경수 배우. 어디서 본 것 같았는데 항거에서 니시다 역을 맡은 배우였다. 이분도 연기 잘하시더라.
+여성 인질 역할로 나오는 이유미 배우. <박화영>의 세진 역으로 출연한 배우다. 박화영 때도 꽤 매력있다고 생각했었는데 차기작 빨리 보고싶더라...
+인질범 일행 중에서 숏컷을 한 여성은 이호정 배우. <청년경찰>에서 납치당하는 역할로 나오신 분 맞다. 여기서는 정반대인 캐릭터를 연기하시는데, 볼때마다 마스크가 매력적이신듯. 이분도 차기작이 참 기대되는 배우.
+박성웅 배우의 특별출연. 아마 황정민 배우와 신세계 때의 인연으로 출연하신듯?
+이외에 맨 처음 자료화면으로 잠깐 출연하시는 배우들이 있다. 이성민 배우가 대표적.",긍정
황콩이,4,"황정민을 전면에 내세우지만,
실상은 ‘조연’들이 마음껏 뛰어노는 판.
새로운 얼굴들이 너무나 반갑다.
하지만 내용은 스트레쑤…
-
210820. 1215. CGV청주율량. 우기.",긍정
시바견,2.5,주인공만큼이나 익숙한 기성품 종합선물세트,중립
진상명,2.5,"'정말 실제 상황일 때 그는 어떻게 행동할까?'가 자연스레 궁금해진다면 이 프로젝트는 성공인가, 실패인가.",중립
타퇴엽절,3,"황정민이 황정민을 연기하고, 그가 납치된다는 설정의 이 영화에서 가장 중요한 것은 바로 리얼리티이다.. 때문에 가짜라는 생각이 강하게 드는 순간 관객들의 몰입도는 곤두박질칠 것이며, 그에 따라 영화에 대한 만족감이 달라질 것이다.. 개인적으론 황정민을 비롯한 모든 배우들의 열연과  군더더기없이 속도감있게 전개되는 이야기 덕분에 시간 가는 줄 모르고 관람했다..^^",긍정
델라,1.5,"황정민이 본인 배우 이름까지 걸고 찍을만한 영화였는가 라는 고민을 하게 됨.  뜬금없는 섹스씬과 갑자기 가슴을 까며 컵사이즈 운운하는 여캐, 범인한테 무차별적으로 폭행당하는 여자 형사 등 필요없는데 포르노적으로 소비되는 장면이 많금. 베테랑 시절에서 벗어나지 못한 외유내강의 남루한 작품.",부정
ajin,3,"각자 제 역할을 충분히 하고 있는데도 이 영화가 묘하게 어색한 이유는 뭘까

1. 황정민 외 다른 배우들의 연극같은 연기
2.평소 하고 싶었던 것을 이번 기회에 몽땅 때려넣겠다는 신인감독의 의지
3. 큰 테두리는 리얼리티에 초점을 뒀지만 전혀 다른 방향으로 가는 극 후반의 작위적인 연출

그렇지만.. 뭐 조조 정도로는 볼만한 영화 였따",긍정
너른벌  김기철,4,"왠지 충분히 일어날법 한 데다가 황정민이면 저럴거 같은 느낌이었다.
그것 역시 인간 황정민의 모습이 아니라 배우 황정민의 모습일테지만.

#070. 2021. 10. 13. D",긍정
Magnolia,3,"황정민은 역시나, 조연들은 어머나?
생각보다 뻔한 소재를 막힘없이 풀어낸다.",긍정
펭귄펭펭해,4,스포일러가 포함되어 내용을 생략했습니다.,긍정
마르키토,3,인질을 두고 삽질,긍정
강탑구,2.5,"배우를 적극 이용한 괜찮은 기획이 이 영화의 최대 장점이나, 앞이 뻔히 보이는 스릴러적 장치와 상황을 지나치게 많이 우겨넣은 설정 때문에 뒤로 갈수록 힘이 빠지는 건 사실이다. 현실과 영화사이의 간격을 극복하려는 엔딩은 나름 인상적이다.",중립
매영남,1,"명분도, 이유도, 설득도 없이 러닝타임 내내 불편하고 불쾌한 이미지와 장면의 연속이었던 올해 최악의 영화

고생하신 정민이형 생각해서 그나마 별 하나 드립니다",부정
"꽃,,",1.5,소재 빼면 시체인 너무 뻔한 영화.,부정
괴무리,2,영화인들 끼리 재미로 만든거 같다,부정
모나드25,1,관객을 인질로 삼는데는 완전실패한 영화. 배우만 모셔왔다고 영화가 저절로 되는게 아니란다 이 모지리들아!,부정
모란,2.5,"황정민이 연기를 진짜 실감나게 잘한다
황정민이 이 영화를 영화로 만든 것 같다
다른 사람이었다면 이 정도 재미를 만들지 못했을 거다
황정민 외에 연기 연출 스토리가 다 2점인데 황정민 연기가 4점이라 2.5점
예고편만 보고 재밌는 건 줄 알았는데
너무 ㅜ 잔인해서 ㅜ 정말 너무 놀랐다 ; _ ;
.
2021.8.21.광주터미널cgv with fanny",중립
영사남,3.5,"캐스팅으로 완성된 서스펜스, 배우들이 만든 리얼리티",긍정
jyjea,3,고급재료에 자극적인 조미료를 얹는 요리실력으로 만든 밥상...,긍정
유권민,3,"이건 무조건 청불로 갔어야지...
보여줄거 같으면서도 안보여줘서 답답하다.",긍정
슬기로운 영화생활,3,영화 속 황정민이 인질이이라는 설정만 기억에 드루와~,긍정
filmaholic9,4,"재밌다. 황정민과 박성웅 외에는 전부 익숙하지 않은 배우들임에도 불구하고 리얼한 연기로 몰입감을 한층 높여준다. 특히 악당 보스는 정말 무서웠다.

+) 영화에 '불필요한 장면'이란 없다. '꼭 필요한 장면'도 없다. 단지 '재미있는 장면'과 '재미없는 장면'이 있을 뿐이다.",긍정
운앤,0.5,개병신쓰레기영화,부정
S군,0.5,"영화 관련 공부하는사람들은 봐야한다
안좋은 예를 전부다 모아둠
여기서 나온 형식만 피해도 쓰레기영화는 면할 수 있을정도

그냥 클레멘타인 수준의 못만든 영화가 아니라
일부러 허접하게 만드려고 노력한 영화
마치 분야에 해박한 권위자들이 힘을 합쳐서
'어떻게 하면 최악의 작품을 만들 수 있을까
노력을 한 느낌

개연성, 재미, 연출, 액션, 캐릭터, 매력, 연기, 리얼리티 몰입도 모두 부재
킬링타임이라기에도 타임킬링이 너무 안됨

0점이 아닌 -4점정도",부정
ㅠㄹ,2.5,"훌륭한 현장감을 따라가지 못하는 연출과, 특별한 인물이 아닌 가상의 캐릭터로도 가능하다는 사실이 영화의 발목을 잡는다.",중립
DK,,"[21.08.18. 개봉 / 관객수 1,638,437명]
[크랭크인/업 19.05.15.-19.08.13.]
[제작비 80억원]
+ 영화 ‘세이빙 미스터 우’ 리메이크작",알 수 없음
