사용자,평점,댓글 내용,감정
조상은,3,배우 황정민만 사실이고 나머지는 허구지만 그 사실이 몰입시키는 것은 장점이고 소재상 서사가 부족해서 억지로 질질 끄는 느낌 입니다,긍정
이지형,2,그냥 황정민.,부정
이름없음,3,기대안해서 그런가 재밌게봤다,긍정
이세중,2,황정민 없으면 안돼,부정
박마꽁,3.5,연예인이기 때문에 나에게 트라우마를 안겨준 분장을 한 사람에게도 웃어줘야 된다는거 넘 괴롭....,긍정
장간지,0.5,"으아씨 이거 볼만하다고 한 사람 누구냐,,",부정
랑자,4,"뻔한 스토리와 뻔한 전개, 뻔한 결과의 영화가 될 뻔 했지만, 긴장감있게 편집된 연출과 몰입력 가득한 배우들의 연기가 커버한다.",긍정
남연우,2.5,"황정민이라는 배우가 인질로 잡힌다는 신박한 소재. 초반부터강한 긴장감을 주며 재미를 북돋았지만, 후반으로 갈수록 풀어지는 내용과 뻔한 결말 진행 때문에 아쉬웠다.",중립
Lotty Kim,1.5,황정민을 인질삼아 보게 만드나 납치의 결론의 대부분 그러하듯,부정
유토피아,2.5,흔하디 흔한 한국 영화,중립
이일동,2.5,"넷플 요즘
현실배우 한명씩 잘하는 장르 하나씩 뽑아먹으려나
차인표에 황정민..다음은 누굴지 기대되네",중립
임현재,,키노라이츠   65.37%   2.8   리뷰   93        로튼 토마토   ---   50-           알로시네   ---   0명          2022.05.06          IMDb   6.2   평균   6.3   626명          2022.04.14          네이버   6.56   평론가   7   7   6   6   6   6   5   5          2022.02.12,알 수 없음
첼정훈,2,"영화는 둘째치고
신인들의 등용문을 만들어준 황정민이라는
사람이 너무 멋있는 선배라고 느껴진다.",부정
Sinryuji,2,황정민이라는 배우가 황정민이라는 배우를 연기하네.,부정
이고,3.5,나름 괜찮았다.,긍정
네이버 영화,3.5,6.56,긍정
헐리우드키드2,2.5,"20220108
처음엔 괜챦은 발상 같아 몰입했지만 시간이 갈수록 별로였다
어떻게 캐릭터가 그리 바뀌는지 ᆢ",중립
김영규,3.5,찐따가 대장이네??,긍정
나는 내일 어제의 너와 떡볶이 조진다,2.5,"그럭저럭

Feb 5 , 2022 with Mom",중립
박현우,3,"강점은 없지만, 약점도 절제한 상업영화",긍정
Craig00se7en,3.5,기존 인질극 영화는 일반인을 상대로하여 보면서도 불편한 부분이 많았지만 황정민의 인질은 영화배우 설정으로 나오다보니 감상하면서도 불편함 없이 팝콘무비로서 즐기기에 괜찮은 영화였다. 그냥 딱 영화!! -20220205-,긍정
소영,3.5,"손 땀 잔뜩
납치극에서 살아남아도 트라우마는 어떡해ㅐ😭",긍정
이준영,2,"납치극은 대상이 누구인가보다도
상황별 선택의 공감대와 서스펜스가 장르의 재미인데,
이야기를 끌어가는 힘만 있고 서스펜스는 없더라.
다소 아쉬운 진행이 되어버린듯",부정
helpme,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
정다정,2.5,"그냥 황정민.
그냥 뻔한 영화.",중립
Sienna,3,특별한 것 없는 그냥 그런,긍정
늘이,3,그냥 그랬음,긍정
디비디비디,2.5,아쉬우,중립
영화보는 고등어,2,"황정민의, 황정민에 의한, 황정민을 위한",부정
조한성,3,연기..👍👍,긍정
최희용,2.5,예상되는 전개이지만 범인조합의 살벌함은 대단.,중립
연암,2.5,경찰은 무능하고 악역은 초인인데 황정민은 신임,중립
Jin Kyong Shawn Joo,2.5,그냥 저냥 음~,중립
조영욱,2.5,혹시나 했던 전반부 전개와 역시나 하는 신파의 반복,중립
임명환,3,이거 이런 영화였어...?,긍정
송서영,2.5,"220203 @집
강약중간약 없이 강강강으로 몰아치다 급 마무리",중립
원담,2.5,"노골적이고 자극적인 방식으로, 반인륜적인 범죄가 사람을 어떻게 망가뜨리는지에 대하여",중립
Seikoon72,2.5,실화도 아닌데 굳이 실존 인물로(?) 설정하는 무리수를 두었나..의문이 남는다.,중립
시-타입,2.5,"반복되는 경찰의 무능함은 현실인가, 창의력의 한계인가.",중립
Sungin Park,2.5,신선한 설정 + 뻔한 스토리 + 어설픈 전개,중립
박경범,3,본명을 써서 실감나지만 조금 부족하다,긍정
Jinsol Hwang,3.5,22/01/30 넷플릭스,긍정
bogo,2.5,"황정민이 황정민을 연기한다
폭력과 고통을 보여주기 위한 영화
질린다... 이런걸 보라고 만들었구나...
결론 궁금해서 3배속으로 보기
알바가 살아서 다행
트라우마를 가진 피해자 눈앞에 고통스런 기억을 들여다 보여주는 현실... 이런걸 비꼬려고 의도한걸까?

좋은 배우들은 몇 눈에 띈다",중립
구미란,3,진짜 황정민의 황정민을 위한 영화다,긍정
개미,3.5,"황정민이 대단하긴 하다
주연도 모자라 본인 캐릭터를 연기하는 배우라니 ,,
ㅋㅋㅋㅋㅋㅋㅋㅋ
제목을 ‘인질’이 아니라 그냥 ‘황정민’으로 했어야 했다",긍정
차승호,1.5,황정민의 재능기부.,부정
안경민,4,이름을 아는 배우는 황정민 뿐이였지만 그래서 더 좋았다 (마무리는 좀 이상했지만),긍정
하랑,2,황정민 디게 좋아하는데 이건 쫌..,부정
Sue,2,시도는 좋았으나 표현이 진부했으며 늘려야만 한다는 강박이 있는 듯이,부정
2h,3,킬링타임용으로 좋은 패스트푸드같은 영화,긍정
mue,2.5,증말 피곤허다,중립
Albert Bonhong Koo,2,"세상에 없던 새로운 감성의 감독과 배우들이 기성의 그것을 어설프게 따라해 빚어진 어쩐지 애매한 무언가

기대를 하자니 실망스럽고 실망스러워하자니 뭔가 색다르고 좋았다. 황정민이 황정민 역할로 나온다기에 마케팅에 사용한 것처럼 제4의 벽을 뛰어넘는 독특한 구성의 영화를 기대했는데, 진짜 그냥 황정민 역할로만 나와서 어딘가 아쉬웠다. 어떻게 했어야 좋았을지는 모르겠지만, 뭔지조차 모르겠는 그 막연한 기대감을 채워줄 수 있으려나 기대한거니까.
이유미 배우가 오징어게임으로 유명해지기 전에 개봉한 영화라 마케팅에 적극적으로 사용되지 않았는데, 실제 비중도 기대만큼 크지는 않았다. 어딘가 불쌍한 역할이 잘 어울리기는 한데 묘한 흑막같은 분위기도 있어서 끝까지 살짝 긴장하면서 봤는데 별다른 반전은 없었다. 있었으면 오히려 식상해졌을 것 같기는하다.
간간히 감독 특유의 독특한 색이 나올 뻔했는데 상업 영화의 색채에 맞게 자제한 것 같다는 느낌이 들어 괜히 아쉬웠다. 황정민이 그냥 황정민일 뿐이라 사실 내용 자체가 특별할 것이 없다보니 전개의 과감함과 배우들의 신선함, 그리고 예상치 못하게 튀는 특이점이 있었으면 하고 기대했는데 무난하게 다듬어져 있어 어쩐지 뒷맛이 좀 어설펐다.

하지만 개성만큼은 뚜렷해서 감독의 차기작이 기대까지는 아니고 궁금함 정도는 되는 것 같다.",부정
챠왓,4.5,"현실을 스릴로
스릴을 현실로",긍정
김맹구,5,"5점까진 아닌데
황정민 나오니까... 의리로...^^",긍정
박준혁,2,황정민이 황정민으로나오는데 그냥 황정민나오는 다른영화랑 똑같다,부정
지누기,3,"흥미로운 초반에 비해 중후반은 다소 뻔하다. 이야기 전개도, 무능력한 경찰도.",긍정
Changmin Kim,3,황정민이 지겹다는 당신에게,긍정
마루치,2,"< 인질 >
Hostage: Missing Celebrity, 2021

왜
찍었을까?

이 영화를 ..

감독도 배우도

별점수는 ★★

#황정민 #나는_왜_봤을까?",부정
은진,2,절대 혼자서 독차지 하지 마라.,부정
린유,4.5,기대 하나도 안하고 봤는데 너무 재밌는데??,긍정
보라,2.5,아니 x발 파밍을 했으면 좀 써라.. 어?,중립
김선우,4,22.1.17,긍정
hereiam,2.5,왜 항상 경찰은 범인만큼 치밀하지 못한걸까?,중립
Yun,2,뭘 말하고싶은거지…..,부정
이현진,3.5,"그냥 영화 제목을 '황정민'으로 바꿔도 큰 무리는 없을 것 같다. 황정민 그 자체인 영화. 다만 중반 이후부터는 이게 사람인지 좀비인지 모르겠는 내구도를 뽐내는데, 자극적인 장면을 만들기 위해서라는건 알겠지만 자극적인 부분을 좀 줄이더라도 적당히 했으면 좋겠다고 생각했다.",긍정
쇼니,4,재밌으면 됐지,긍정
공갈빵,2,"마지막씬에서황정민눈빛빼곤 다별로
특히 납치범들 연기가 왜 그모양이냐
김재범은 대학로아이돌이라던데 왜 대학로아이돌타이틀에먹칠을.. 류경수는 자기가 잘하는 그 에너지 잘잡고갔는데..
아쉽지만 조화도 매력도 잡지못한 캐릭터설정과 연출.",부정
한기훈,2.5,"이제 이런 멍청한 캐릭터들은 지긋지긋하다

2022. 1. 13",중립
psl,3,로우 리스크 로우 리턴,긍정
smilegorany,3.5,"악당들이 뭔가 엉성하긴 하지만 전반적으로 안정적인 킬링타임 영화. 황정민 배우님 본인이 주인공으로 나오면서 익숙한 명대사나 캐릭터명이 쓰이는 건 흥미로웠는데, 단순히 유명인으로만 나와서 조금 아쉬웠다. 배우로서의 생활, 삶과 관련된 부분들이 조금 더 내용에 녹아들었다면 다른 영화들과 차별화된 작품이 될 수 있지 않았을까 싶다.",긍정
rio,2.5,황정민 팬이라서 봄.. 그냥 그뿐.,중립
수진,3,예상을 절대로 빗나가지 않음 . 딱 요럴거 같던 영화가 딱 요랬다 .,긍정
영화보는환이,,"안 일어날 것 같은 일이
일어나고 보니 일어났다
더이상 그누구도
스타든 아니든 인질 되지 말아야한다",알 수 없음
터슨패,2.5,중간까지 참 좋다,중립
강성현,3.5,처음 보는 소재라 재밌게 봤다. 후반부로갈수록 남는 아쉬움은 나만 느낀건 아닌듯하다,긍정
썽망,3.5,못 보던 배우들 신선하고 줄거리도 재밌는데 여성 배우들 너무 무능하게 나온다 훌륭한 배우일 텐데 영화에 나와서 하는 거라고는 개 뜬금없이 가슴 사이즈 오픈하고 죽는 것밖에 없다니,긍정
아임낫데어,2,재밌는 것만 보고 살기에도 인생 짧다,부정
박머핀,1,집중하나도 안되는 맛,부정
쏘딩,3.5,"보는 내가 심장이 벌렁거릴정도로 몰입있었는데
각본이나 연출보다도 배우들의 연기력때문이지 싶다
특히 마지막 엔딩에서 황정민의 연기는.. 박수가 절로나옴

(211211)",긍정
솔솔,2,"황정민 배우 연기야 더 말할 것도 없고 믿고 보는 검증된 배우이지만 이번 영화에서는 납치범들의 연기도 엄청났다.
​
류경수, 이호정 배우는 드라마에서 최근까지도 봐서 그런지 반가웠고, 김재범 배우... 미쳤다 진짜! 너무 소름 끼치게 연기해서 아직도 무서운데 그만큼 캐릭터를 잘 살려서 연기했단 거겠지!? 휴우 진짜 너무 무서웠다.. 너무너무",부정
조잘조잘,3,"황정민이기에 가능한 영화
영화스타그램 조잘조잘 @cho.__.jal",긍정
권준형,4,"기대 1도 안하고 봐서 그런가 너무 재밌게
봤다",긍정
박슬기,2.5,"무엇이 현실이고 영화인지 혼란스럽게
현실적인 배경속에서 극적인 연기를 했더라면 아쉬움
영화 속 현실속에서 황정민의 연기는 다른 영화의 황정민의 캐릭터 같았고 늘 똑같은 연기를 한다는 시선을 풍자하는 듯 했다

영화속 현실이 다시 영화가 될 수 있게
결말을 지었더라면
현장에서 클로즈업된 황정민이 카메라를 응시하며
끝내는 결말이면 어땠을까",중립
모두 찾아온다,2.5,"항상 뻔한 황정민이 본인을 연기하니 모든걸 끌어낸느낌. 의외로 괜춘
2022.01.07",중립
타누키,1,조잡하고 산만함,부정
sinain,2,컨셉 한번 독하다…,부정
명준,3,몰입시키는건 성공했지만 발목을 잡는 진부한 후반부,긍정
Ham,1.5,"주인공이 황정민이어야 할 이유가 없는 각본
찝찝한 전개 후련하지 않은 결말
22.1.3.월",부정
서보희,3.5,배우의 이름값과 연기에 다소 주눅든 탓일까.,긍정
박주헌,3,"어떻게 보면
황정민을 위한 찬사네",긍정
zap,3,엉성한 개연성을 동여맨 연기력,긍정
ㅈㅇ,3.5,황정민이 황정민으로 나와서 더 표현의 한계가 생긴 것 같다. 기대를 안하고 보면 재미있는 영화. 작품성을 기대한다면 실망할 것이 분명,긍정
박봉달,1.5,어설프다.,부정
히포,4,금방 보는 것 보니 킬링타임용 좋다,긍정
유민정,2,"황정민배우 영화 중 가장,,,,,👎🏻",부정
손혁,2.5,의도하는 스릴을 전달하지 못한채 예측 가능한 범위에서 사건이 진행된다.,중립
여채경,1.5,참신한 소재와 시도만으로 매력을 이끌어내긴 어렵다,부정
토들,4,'연기하는' 황정민을 연기하는 황정민. 본연의 모습은 아닌듯 했지만 디테일한 쫄깃함은 나름 괜찮았다.,긍정
안현,4,"킬링타임용으로 매우 괜찮음.
지루한 부분도 별로 없고,
오랜만에 한 번도 안끊고 끝까지 본 넷플 영화.

황정민이 연기톤이 아니었다면 좀 더 좋지않았을까. 살짝 아쉽다.",긍정
하암,1.5,배우 황정민이 납치된다? 너무나 궁금증과 호기심이 생겨 클릭 그러나 너무나 자극적이고 폭력 선정적이라서 내 취향은 아니었다 이게 15세라고요?? 진심 레알?,부정
김너스레,3,느슨해진 상영시간에 긴장감을 주는 영화.,긍정
서재혁,3,황정민이 캐리한 영화..악역을 좀더 연기력이 탄탄한 배우로 했으면…,긍정
정진호,3,스토리텔링 성공,긍정
박민제,3,역시 황정민,긍정
100호,4,"뭐 재미있겠어 라고 생각했는데 재미있네
미묘한 현실성",긍정
대감독,1,어느 무엇도 남지않는 두시간,부정
SON,1,스포일러가 포함되어 내용을 생략했습니다.,부정
손님,2.5,다 던진듯이 굴지만 어떤 것도 내려놓지 못한,중립
뜌굠,1,악당들 악당인척 연기하는게 너무 오글,부정
김성진,2.5,아주 좋은 장면과 그렇지 못한 장면이 번갈아가며 반복된다. 클리쉐를 줄였다면 더 좋은 영화가 되었을듯.,중립
KOO,3,황정민이 아니면..?,긍정
그랑죠,3,깔끔한 진행과 불편한 라스트,긍정
𝐩𝐢𝐜𝐧𝐢𝐜𝐤𝐞𝐫,2,"나는 이상하게 황정민 배우님의 연기에 감흥이 없다
참으로 이상한 일 🤔",부정
321,2,"꼭 그랬어야 했나 하는 전개가 힘들었던 영화
결말은 뭘 의미하는걸까",부정
1,3,울엄마 재밌어 함,긍정
윤재영,2,"황정민의 납치 체험...-끝
그뿐 스토리가 없어서 오히려 실사같은 효과 + 심심함",부정
Kevin,2,"하이퍼리얼리즘 영화는 참신 했지만

그래도 현실성이 떨어져서...

그냥 평범했다",부정
기린,3,"익숙한, 혹은 친숙한 수레에 새로운 얼굴들을 태운채 달려나간다.

ps. 우리나라에 연기 잘하는 사람들, 참 많구나.",긍정
개시리,3.5,"생각보다 재밌었음
특히 범죄자들이 정말 범죄자 같아서
연민의 구석을 느낄 수 없는 게 제일 좋았음
하나같이 개X끼들이라 맘 편하게 싫어할 수 있어서 좋음ㅎ

서도철 최철기 기자 얘기 꺼냈을땐 ㅜ
알아들은 내가 신기방기",긍정
MinSung Kang,2.5,야! 잘차린 밥상. 뭘 야려~ C급 무비 첨봐?,중립
MINI,0.5,유치하고 평범한 한국영화…,부정
택승이,3,"테일러는 편의점 직원에게 총을 겨누며  ""넌 뭐가 되고 싶었어?"" 라고 묻는다.
""수의사요.""
""6주안에 공부 시작해. 안하면 넌 죽어.""
그리고 그는 말한다.
""내일은 그의 삶에서 가장 아름다운 날이 될 거야.""

출처: https://pointstory.tistory.com/164?category=750794 [1001번가의 스토리보드]",긍정
매련,3,황정민 십분 활용법.,긍정
이서강,3,배우를 괴롭히는 새로운 방법?,긍정
김재성,2.5,211219,중립
정영운,4,아주 간단한 밥상인 줄 알았는데 진수성찬.,긍정
회향,2,저는 처음봅니다..,부정
강씨네수다,3.5,"""팬한테 어떻게 이래?""

+ 황정민의 새로운 표정을 보았다.",긍정
Meca Kang,2.5,"시작은 신선
신선도 유지는 글쎄",중립
김현수,2,황정민에 올라타서 순전히 날로 먹으려는 영화.,부정
민민왕자,2.5,어딘가 허술하고 아쉽지만 황정민이라서 봤다,중립
실리안,3,그저 킬링타임,긍정
안준용,2.5,차라리 조금 유머러스하게 풀어봤더라면 어땠을까 하는 생각이 든다. 악역들도 좀 과한 것 같다.,중립
워니:-),2,"류경수 연기너무잘한다,,
악역들 연기가 좀 아쉽다 😐😐",부정
채옥이,3,단순명료. 재밌음,긍정
giants_lee,3,익숙함 속에 새로운듯 다소 엉성한 낯섦,긍정
김철민,3,"욕심내지 않은, 웰메이드 장르물",긍정
십일,2,어정쩡하다,부정
Sasasa,3.5,황정민이 너무 황정민이야ㅠ,긍정
Mia-Wallace,2,"황정민의 원맨쇼, 거기에 더해지는 악당들의 발악쇼.",부정
-_-,2,황정민이연기로멱살잡아끌어올려도따라와주지않는다,부정
류정민,2,난 이런 쓰잘데기 없이 폭력적인 영화가 싫더라.. 난 나쁜놈들 찢어죽이는 영화가 좋아 타란티노같이,부정
BK,2,@넷플릭스,부정
송민석,3,어찌 보면 이야기를 끌어가는 게 힘들 수도 있는 영화였지만 나름 잘 이끌어간 것 같다.,긍정
쇼비,3,"황정만을 위해 그럭저럭 잘 각색한 리메이크작 이지만 원작인 ‘세이빙 미스터 우’ 보단 못한 느낌. 그래도 원작은 실화 였다는 느낌을 어느 정도 느낄 수 있는 리얼리티가 있었는데, 황정민 버전은 리얼리티를 완전히 배제하고 액션에 좀 더 비중을 둔 듯 하다.",긍정
폴키킴,2,최영환 감독님,부정
영화교살,2,"감독이 황필른이네
황정민연성이 실화가 된 영화",부정
피엑스병,2,배우들 연기력은 좋은데 뭔가 다른영화 패러디를 보는기분,부정
추민규,3,우리나라 경찰력과 광기에 어린자의 협력작품.,긍정
Doiary,2.5,"신세계를 본 관객을 전제로 익숙함을 소재로 이끌고 나간 형식은 신선했지만 가면 갈수록 질리는 맛인게 아쉬웠다. 황정민 연기 넘 잘한다 ˙ᵕ˙
형사는 한 번에 쓰러지는데, 황정민은 대체 목숨이 몇개인가ㅋㅋ",중립
WOO,2.5,울림없는 맹목적인 자극에 대한 질주.,중립
시그사우어,2.5,감독의 패기 하나,중립
기메민,1,왜 본다고했을까...?? 과도한 폭력씬이 눈에 거슬림,부정
지하인간,2,"한국 영화 역사상 가장 독창적이었던 아이디어 중 하나임은 부정할 수 없지만, 그에 비해 지나치게 작위적이고 촌스러운 감이 있다. 황정민이라는 이름 석자를 빼면 남는 것이 거의 없는 작품이 아닐까.",부정
박 성호,3,인질 잡기보다 중요한 건 멘탈 잡기,긍정
양성순,1.5,"영화보는데 집중이 안된다. 왜냐 뻔한 스토리 라인 따라가고 뻔한 연출 하고
뻔한거 반복하고 있으니깐.  그러면 배우 연기도 뻔해진다.

그러고 보니 참 뻔뻔한 영화다.",부정
정종혁,3,익숙치 않은 배우들로 불어 넣은 리얼리티를 등에 업고 온전히 황정민으로 견인한다.,긍정
임규빈,3.5,황정민을 위한 영화 한편. 조금 비현실적인 영화 요소가 많이 들어간점이 아쉽 !,긍정
웅재박,3,다 본 뒤 어렴풋이 나타나는 본질 망각의 우,긍정
허두녕,3,예상 보다 괜찮음,긍정
육종석,2.5,"천만배우라는 상징이 있다고해도 실명으로 출연할 이유가 전혀없다.
코믹장르도 아니고 실제인물을 전복시킬 생각도 없고
그런의미에선 차인표가 더 충실한 영화다",중립
박성진,4,스포일러가 포함되어 내용을 생략했습니다.,긍정
강현수,2.5,"몰입감은 최고지만, 헐거운 고리들이 마지막까지 보는데 신경쓰임",중립
봄날,2.5,천만 배우는 확실히 다르구만,중립
Sophie,3,내내 긴장감있게 재밌게 봤고 얼굴이 잘 알려지지 않은 배우들을 써서 몰입감있었다. 마지막만 조금 아쉽다,긍정
영상학개론,3,그가 배우라서 가능 했던 것.,긍정
Li,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
이원일,2.5,형식의 시도와 배우의 명연기가 무색,중립
한상환,3.5,스케일이 작으면서도 긴박함은 놓치지않고 배우로 잘끌고 나간다 조금더 스케일이 작게 실험적 도전도 가능했을듯한데 여튼 긴장감하나는 잘 잡았다,긍정
김수한무,2.5,"남은건 정민이형.

뻔한 클리셰와
90년대라면 신선했겠지마는,
이제는 납득할 수 없는
행동들.",중립
WatchaPedia,2,킬링타임으론 좋았지만 리얼함이 크게 없었고 배우들의 연기도 감명깊지않았다.,부정
김자몽,2.5,뭔가 그냥 하고싶은거..찍고싶은거 한거같은?,중립
잠탱이아빠,2,ㅋㅋㅋ 좋다,부정
groovie,3,캐릭터가 굳이 황정민 아니었어도 크게 다를 건 없었을 듯,긍정
충분이,3,어떻게 보면 성공적,긍정
피묻은칼,2.5,2021.12.14,중립
nayoungseon,3,캐스팅의 힘,긍정
jeipak,3,시도는 좋다. 그런데 불편함을 유발하는 장치들은 거슬린다.,긍정
권혁우,3.5,황정민 원맨쇼의 안정적인 리드,긍정
김소희,4,예상했던 고구마 예상했던 사이다,긍정
jememe,1.5,실화 배경이 아니라면 이 영화의 존재 이유는......,부정
이갈리아의 딸들,3,이런 장르에서 마지막에 주인공과 악역의 1대1 대결.. 그러려니 하려고 해도 너무 한 것같다 경찰도 이기는 악역을 탈골한 정민이 형이 이긴다고??,긍정
여인호,3.5,넷플릭스 홈,긍정
xrush,2.5,"황정민이 한번쯤 영화찍으면서
상상했을것같은 느낌ㅋㅋㅋ",중립
이미형,1,재미없쟈나.. 싸이코가 이해가 안되서 괴로웠…,부정
이창수,3,"아이디어는 정말 참신하고 좋았고 전반적인 긴장감 구성도 좋았으나...
범죄자들이 너무 빡대가리처럼 일을 크게 만들어서 내용 몰입을 방해함.
5억 받자고 히멀 건한 대 낮에 택시 기사나 편의점 알바 다 죽이고 황정민네 집 다 털어서 매니저가 눈치채게 만들고 ㅋㅋㅋ 개노답임",긍정
주상현,2,긴장감은... 어디로?,부정
불휘불휘깊은나무,4,킬링타임용으로 확 몰입하기에 좋음,긍정
wooznn,2,"좋은 소재 선택을 하고
뻔한 내용으로 이끄는 부분이 아쉽",부정
김근재,4,"실제의 삶으로 이야기를 만든것에 대해서는 신선하다.
황정민의 연기는 드라마가 아닌 영화에서만 통하나 보다.",긍정
죠온윅,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
김진산,2.5,신선하긴하다,중립
섭웨,1.5,스포일러가 포함되어 내용을 생략했습니다.,부정
home,3,잃을게 없는 사람은 없다,긍정
MM,3.5,"21.12.11
경찰의 상태가..,",긍정
정민기,3,악당이 편의점에서 흥분하기 전까지는 좋았다,긍정
바나나우유,3.5,황정민에 제작비를 몰빵해서 조연들 (특히 경찰들) 연기가 너무 아쉽다. 메인 빌런은 처음 보는 사람인데 연기를 잘해서 좋았다. 그냥 시간 떼우기 좋은 영화.,긍정
최재욱,2.5,"후배들의 무대를 만들어 주기 위해 자기 이름을 내어준 황정민과, 그런 선배의 선의에 열연으로 보답한 후배들",중립
김한수,2.5,"음.. 예전에 외국 영화 중에서 이런 류의 영화들을 많이 봤었는데.. 이든레이크? 도 있었고 또 뭐더라..  제목들은 다 기억나지 않네 어쨌든 뜬금없는 폭력을 보면 내가 저 상황에 어떻게 할지 그리고 저 새끼가 어떻게 될지 생각하며 끝까지 보게 된다.
하지만 이 영화는 좋지 않았던것 같다.
끝까지 보게는 했지만 현실감이 더 있었으면 하고.. (극중에서도 유명배우인 황정민이 납치되는것 부터가 좀..)
그리고 자꾸 작위적인 설정도 거슬린다 그냥 악, 악함에 집중했으면 좋겠는데.. 황정민이 영화 시작하자마자 납치되다보니 이럴수밖에 없었던듯 하지만.",중립
서강석,3,"황정민이 황정민으로 등장하는 설정이 흥미롭고, 발암 캐릭터들과 절대악 빌런들 사이에서 고군분투하는 황정민 연기 대단하다. 다 보고닌 후에 원작이 있다는 걸 알았는데 언젠가 한번 찾아볼 수 있다면 좋을듯.",긍정
こょ,3,생각보다 몰입도 있었음,긍정
황지성,2.5,"경찰이 너무 답답하다
총은 장식이냐!",중립
yj,2.5,그저그런 예상가능한 수준,중립
양브리,3.5,상당히 흥미로웠음,긍정
조승상,3.5,"오. 예고편 보다 재미있음.
살면서 범인같은 인간들과 마주치더라도 불상사가 생기지 않게 겉으론 친절하자.",긍정
수딘이,1.5,그냥 기분나쁜 영화.. ㅠ 그나마 익숙한 황정민이 나와서 이정도 별점준다.. 갈수록 긴장감이 고조되는 게 아니라 답답함이 고조된다 ㅋㅋ 진짜 괜히 봤엉 ㅠㅠ,부정
류크 김박봉나,1,"1.  '황정민이 황정민인 영화 있으면 재밌겠네 허허허'라는 이야기를 상상한 각본가? 감독이 오 이거 재밌겠는데~ 하고 시나리오를 썼는데 개봉을 하려면 적어도 90분은 찍어야 하니 무작정 이야기를 늘려서 만들다가 개판된 느낌?

2. 유지사제",부정
제작하다 녹음하는 김수삐,2.5,현실도 영화도 페이크 다큐도 아닌 넌 정체가 뭐니. 한시간 반이 이렇게 길었니,중립
건축가,3,영화계를 이끌어갈 배역들의 발견,긍정
우르르쾅쾅,2,"초반은 신선했으나 그것뿐이었다.
뒤로 갈수록 너무나 예상된다.

ps.스토리를 위한 것이었어도 경찰이 너무 무능하게 나온다.",부정
YammY,2.5,배우 황정민이 인질로 잡힌다는 점 말고는 모두 다 진부했다.,중립
박지수,2,ㅎㅎㅎㅎ,부정
박인동,3,"뛰어난 상수, 부족한 변수",긍정
유프로,2.5,"영화자체 시간은 잘 간다만 악당들이
시작부터 황정민한테 질꺼같이 생김",중립
박지영,2,"영화 바깥의 실재적 요소들을 대거 투입하였다고 그것을 리얼리티 혹은 리얼한 것이라 말할 수 있는가의 문제. 영화의 내적 논리와 짜임새는 전혀 리얼하지 않을 때, 우리는 어디에 초점을 두고 따라가야 하는가.",부정
woogiibooster,3,"그래, 재료만 다를뿐 익히 알고 있는 그 라면 맛이야!",긍정
철현,0.5,오랜만에 영화보면서 화가 난다,부정
손기정,2,"8월에 예매해놓고 바빠서 까먹고 못본게 억울해서
넷플 떠있는거 보고 봤는데 그냥 못만든 한국영화였고
덕분에 부당거래 한번 더봤다",부정
이주현,2.5,인질,중립
민경,2.5,"황정민을 제외한 모든 등장인물들이 다 조급해보인다.
화에 가득 찬 욕들은 어색하고.. 스토리 자체는 그럭저럭이었지만 연기가 별로였음",중립
좌포청종사관,1.5,이건뭐..  이도저도아닌.. 그저그런..,부정
얇아애어리,3,신선하고 진부했던 인질극,긍정
2983,2,요즘영화 맞나 싶을 정도로 진부,부정
무비라이더,3,망한 영화를 심폐소생술로 이렇게 살려낸 각본가에게 박수를,긍정
비밀,3.5,나쁘지 않은데?,긍정
유국토,1,"고급 주방, 신선한 식재료로 끓인 한강라면 한젓가락",부정
다래,3,김재범 마스크 존나 대박,긍정
천호영,3,황정민이 히어로로 변신하는 대목부터 영화의 밀도가 떨어지긴 하지만...,긍정
규리,2,인질극에 알맞게 깝깝했다,부정
홍성협,3,2021-12-08,긍정
박지원,2.5,김재범님 연기 좋네요. 뮤지컬보다 더 잘하는듯,중립
Icemango,3,"황정민의 미묘하지 않게 연기자 황정민스럽지 않은 연기가
묘미이다. 애초에 설정해둔 소박한 목표를 충실하게 달성하는 영화",긍정
movies.movie,2.5,"악역이 안 무서워서 몰입 안 됨
(우리 새벽이 넘 반가웠음)
소연(이유미배우) 샛별(이호정배우) 역할의 필요성은 무엇인지 왜 그렇게 소모될 수밖에 없는지 궁금하다",중립
김병국,3,적당한 포카칩,긍정
강형구,3,김재범이란 배우만 발견했으면 됫다,긍정
Nuyh GnasG  noh,3,실제 배우가 극 중 인물일 때 장점은 배우의 필모를 갖고 놀 수 있다는 점이고 단점은 그 배우의 이미지에 갇힌다는 점을 알 수 있게 해 준다. 모든 게 잘 돌아가는 연출이란 건 알겠으나 컨셉의 잠재력을 다 써먹은 건 아닌 느낌이고 오히려 주인공 배우 특유의 매너와 정의감이 이야기를 억누른다는 인상을 준다.,긍정
김숨니,3.5,킬링타임용으로 적절,긍정
이병전,2.5,한국종특영화,중립
Justin Ui-Do Kim,1,스포일러가 포함되어 내용을 생략했습니다.,부정
Sekang,3,황정민 배우의 생활 연기를 담고 싶었나..? 다른 영화가 더 생활 연기 같다…,긍정
